0,0,0,0
0.052339,1.3571,1.1622,1.254
0.10468,2.7007,2.312,2.4945
0.15702,4.0308,3.4494,3.7216
0.20936,5.3477,4.5746,4.9355
0.2617,6.6514,5.6877,6.1363
0.31404,7.9421,6.7889,7.3242
0.36638,9.2199,7.8782,8.4993
0.41872,10.485,8.9559,9.6618
0.47105,11.737,10.022,10.812
0.52339,12.977,11.077,11.949
0.57573,14.205,12.12,13.075
0.62807,15.42,13.152,14.188
0.68041,16.624,14.173,15.289
0.73275,17.815,15.183,16.378
0.78509,18.994,16.183,17.456
0.83743,20.162,17.171,18.522
0.88977,21.317,18.149,19.576
0.94211,22.462,19.117,20.62
0.99445,23.595,20.074,21.651
1.0468,24.716,21.02,22.672
1.0991,25.836,21.957,23.682
1.1515,26.955,22.884,24.681
1.2038,28.065,23.8,25.669
1.2561,29.165,24.707,26.647
1.3085,30.256,25.604,27.614
1.3608,31.339,26.492,28.57
1.4132,32.417,27.369,29.517
1.4655,33.486,28.238,30.453
1.5178,34.546,29.097,31.379
1.5702,35.598,29.947,32.295
1.6225,36.641,30.788,33.201
1.6749,37.675,31.62,34.097
1.7272,38.701,32.443,34.984
1.7795,39.719,33.257,35.861
1.8319,40.728,34.062,36.729
1.8842,41.73,34.859,37.588
1.9366,42.723,35.647,38.437
1.9889,43.136,35.866,38.992
2.0412,42.789,35.436,38.515
2.0936,42.441,35.011,38.108
2.1459,42.096,34.591,37.698
2.1983,41.754,34.176,37.292
2.2506,41.415,33.766,36.89
2.3029,41.078,33.361,36.493
2.3553,40.745,32.953,36.1
2.4076,40.413,32.513,35.711
2.46,40.085,32.079,35.327
2.5123,39.759,31.651,34.946
2.5646,39.436,31.209,34.57
2.617,39.116,30.766,34.198
2.6693,38.798,30.33,33.829
2.7216,38.482,29.899,33.465
2.774,38.17,29.475,33.105
2.8263,37.859,29.057,32.748
2.8787,37.552,28.644,32.395
2.931,37.247,28.238,32.046
2.9833,36.944,27.837,31.701
3.0357,36.644,27.442,31.36
3.088,36.346,27.053,31.022
3.1404,36.05,26.669,30.688
3.1927,35.757,26.29,30.358
3.245,35.467,25.917,30.031
3.2974,35.179,25.549,29.707
3.3497,34.893,25.187,29.387
3.4021,34.609,24.829,29.071
3.4544,34.328,24.477,28.758
3.5067,34.049,24.13,28.448
3.5591,33.772,23.787,28.142
3.6114,33.498,23.45,27.839
3.6638,33.225,23.117,27.539
3.7161,32.955,22.789,27.242
3.7684,32.688,22.466,26.949
3.8208,32.422,22.147,26.659
3.8731,32.158,21.832,26.372
3.9255,31.897,21.523,26.088
3.9778,31.638,21.217,25.807
4.0301,31.381,20.916,25.529
4.0825,31.126,20.619,25.254
4.1348,30.873,20.327,24.982
4.1872,30.622,20.038,24.713
4.2395,30.373,19.754,24.447
4.2918,30.126,19.474,24.183
4.3442,29.881,19.197,23.923
4.3965,29.638,18.925,23.665
4.4488,29.398,18.656,23.41
4.5012,29.159,18.391,23.158
4.5535,28.922,18.13,22.909
4.6059,28.687,17.873,22.662
4.6582,28.453,17.62,22.418
4.7105,28.222,17.37,22.177
4.7629,27.993,17.123,21.938
4.8152,27.765,16.88,21.702
4.8676,27.54,16.64,21.468
4.9199,27.316,16.404,21.237
4.9722,27.097,16.172,21.008
5.0246,26.884,15.942,20.782
5.0769,26.672,15.716,20.558
5.1293,26.463,15.493,20.336
5.1816,26.255,15.273,20.117
